ACC1001,ACC2001,EUR,120.50,2026-05-01T10:15:23.123456789
ACC1002,ACC2003,USD,75.00,2026-05-01T11:45:10.987654321
ACC1003,ACC2002,GBP,210.30,2026-05-01T13:05:55.456123789
ACC1001,ACC2004,EUR,15.99,2026-05-01T14:22:33.111222333
ACC1005,ACC2001,CHF,340.00,2026-05-01T15:10:05.999888777
ACC1002,ACC2005,USD,9.49,2026-05-01T16:45:44.222333444
ACC1004,ACC2002,EUR,560.00,2026-05-02T09:05:12.555666777
ACC1003,ACC2006,GBP,42.42,2026-05-02T10:30:30.888999000
ACC1006,ACC1001,CHF,88.88,2026-05-02T11:55:55.101010101
ACC1007,ACC2003,EUR,5.75,2026-05-02T13:12:01.202020202
ACC2001,ACC1002,EUR,999.99,2026-05-03T08:45:45.303030303
ACC2002,ACC1003,USD,123.45,2026-05-03T09:50:10.404040404
ACC2003,ACC1004,EUR,67.89,2026-05-03T11:25:35.505050505
ACC2004,ACC1005,CHF,450.00,2026-05-03T12:40:40.606060606
ACC2005,ACC1006,GBP,33.33,2026-05-03T14:55:55.707070707
ACC2006,ACC1007,EUR,78.10,2026-05-04T09:05:05.808080808
ACC1001,ACC1003,USD,250.00,2026-05-04T10:15:15.909090909
ACC1002,ACC1004,CHF,19.95,2026-05-04T11:20:20.111213141
ACC1003,ACC1005,EUR,600.00,2026-05-04T12:30:30.151617181
ACC1004,ACC1006,GBP,12.00,2026-05-04T13:40:40.192021222
